current_player,is_current_player_hand_winner,is_current_player_game_winner,current_player_score,opponent_score,current_player_deadwood,current_player_num_hit_cards,num_melds,point_sum_melds,num_combos,point_sum_combos,num_knock_cache,point_sum_knock_cache,num_load_cards,point_sum_load_cards,turns_taken
1.0,0,0,63.0,45.0,67.0,5.0,0.0,0.0,3.0,47.0,3.0,4.0,3.0,22.0,0.0
0.0,1,1,63.0,45.0,29.0,3.0,1.0,12.0,2.0,5.0,4.0,5.0,3.0,17.0,1.0
1.0,0,0,63.0,45.0,59.0,7.0,0.0,0.0,4.0,49.0,4.0,5.0,2.0,13.0,1.0
0.0,1,1,63.0,45.0,25.0,7.0,1.0,12.0,3.0,13.0,4.0,5.0,1.0,5.0,2.0
1.0,0,0,63.0,45.0,59.0,6.0,0.0,0.0,4.0,49.0,4.0,5.0,2.0,13.0,2.0
0.0,1,1,63.0,45.0,19.0,7.0,1.0,18.0,3.0,13.0,4.0,5.0,0.0,0.0,3.0
1.0,0,0,63.0,45.0,40.0,6.0,1.0,12.0,2.0,22.0,3.0,2.0,2.0,13.0,3.0
0.0,1,1,63.0,45.0,15.0,7.0,1.0,18.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0
1.0,0,0,63.0,45.0,30.0,5.0,1.0,18.0,1.0,2.0,3.0,2.0,3.0,23.0,4.0
0.0,1,1,63.0,45.0,15.0,7.0,1.0,18.0,3.0,5.0,5.0,5.0,1.0,4.0,5.0
0.0,1,1,63.0,45.0,4.0,6.0,2.0,24.0,2.0,1.0,3.0,1.0,0.0,0.0,6.0
1.0,0,0,89.0,45.0,58.0,10.0,0.0,0.0,5.0,43.0,3.0,5.0,2.0,14.0,0.0
0.0,1,1,89.0,45.0,69.0,5.0,0.0,0.0,3.0,32.0,3.0,7.0,3.0,29.0,0.0
1.0,0,0,89.0,45.0,49.0,8.0,0.0,0.0,4.0,23.0,4.0,5.0,3.0,24.0,1.0
0.0,1,1,89.0,45.0,69.0,5.0,0.0,0.0,3.0,32.0,3.0,7.0,3.0,29.0,1.0
